Entity,Code,Year,total_private_investment_by_focus_area_inflation_adjusted
Agricultural tech,,2021,1428772088
Audiovisual,,2021,8094824175
Augmented reality/virtual reality,,2021,1264948880
"Cybersecurity, data protection",,2021,2645209666
"Data management, processing, cloud",,2021,12167417279
Drones,,2021,2477475661
Educational tech,,2021,1242150888
"Energy, oil, and gas",,2021,2779850136
Entertainment,,2021,706492233
Facial recognition,,2021,1874072234
Financial tech,,2021,10259479432
Fitness and wellness,,2021,5561635501
Geospatial,,2021,925033928
Human resources tech,,2021,2180100559
"Industrial automation, network",,2021,5853281183
Insurance tech,,2021,1771675486
Legal tech,,2021,906124540
"Marketing, digital ads",,2021,2313249674
Medical and healthcare,,2021,11290055324
"Music, video content",,2021,472245294
"Natural language, customer support",,2021,4005563433
Retail,,2021,5740676995
Sales enablement,,2021,1280934590
Semiconductor,,2021,6003831097
Total,,2021,93535757202
Venture capital,,2021,290656926
