"country","year","ciri","cow","polity","unctry","unreg","unsubreg","human_rights_score","physint_sum","repression_sum","civpol_sum","workerrights_practices_sum","workerrights_laws_sum","disap","kill","polpris","tort","bbatrocity","bbatrocity_intensity","assn","formov","dommov","speech","elecsd","rel_free","wecon","wopol","wosoc_p","union_p","barg_p","hour_p","force_p","child_p","wage_p","safe_p","trafficking_p","injud","ngo_freedom","trial_p","wosoc_l","union_l","barg_l","hour_l","force_l","child_l","wage_l","safe_l","trafficking_l","trial_l"
"Cameroon",2021,191,471,471,120,2,17,NA,1,NA,NA,6,11,0,1,0,0,0,NA,1,NA,1,0,0,NA,NA,NA,0,1,1,0,1,1,1,1,NA,0,0,0,1,1,1,2,2,2,2,1,NA,2
"Burundi",2021,185,516,516,108,2,14,NA,0,NA,NA,2,7,0,0,0,0,1,3,1,NA,1,0,0,NA,NA,NA,1,0,0,0,1,1,0,0,NA,0,0,0,2,1,1,1,1,2,0,1,NA,2
"Libya",2021,401,620,620,434,2,15,NA,1,NA,NA,3,5,0,0,1,0,1,2,0,NA,2,0,0,NA,NA,NA,1,0,0,0,1,1,1,0,NA,0,1,0,1,0,0,1,1,1,2,0,NA,1
"Japan",2021,359,740,740,392,142,30,NA,8,NA,NA,NA,10,2,2,2,2,0,NA,1,NA,1,2,2,NA,NA,NA,2,1,NA,0,1,1,2,1,NA,2,3,1,2,1,1,1,2,1,2,2,NA,2
"Mozambique",2021,464,541,541,508,2,14,NA,5,NA,NA,1,6,1,1,2,1,0,NA,0,NA,2,0,1,NA,NA,NA,1,0,0,0,1,0,0,0,NA,0,1,1,2,0,0,1,1,1,2,1,NA,2
"Russia",2021,530,365,365,643,150,151,NA,1,NA,NA,4,9,0,1,0,0,0,NA,0,NA,2,0,0,NA,NA,NA,1,0,0,1,0,1,1,1,NA,0,0,0,1,1,0,2,1,2,2,1,NA,1
"Botswana",2021,167,571,571,72,2,18,NA,7,NA,NA,3,6,2,2,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,2,0,0,0,0,1,2,0,NA,2,3,3,2,1,0,1,0,1,2,1,NA,3
"Greece",2021,305,350,350,300,150,39,NA,6,NA,NA,6,10,2,2,2,0,0,NA,1,NA,1,1,2,NA,NA,NA,3,1,1,1,1,1,1,0,NA,2,0,2,3,1,1,2,2,1,2,1,NA,2
"Hungary",2021,329,310,310,348,150,151,NA,8,NA,NA,NA,11,2,2,2,2,0,NA,1,NA,2,1,1,NA,NA,NA,3,0,NA,2,1,2,1,2,NA,0,2,2,3,1,1,2,2,2,1,2,NA,3
"Antigua and Barbuda",2021,116,58,58,28,419,29,NA,8,NA,NA,9,10,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,1,1,2,2,1,0,NA,2,3,2,3,2,1,2,2,2,1,0,NA,2
"Turkmenistan",2021,644,701,701,795,142,62,NA,2,NA,NA,2,5,1,1,0,0,0,NA,0,NA,1,0,0,NA,NA,NA,2,0,0,1,0,1,0,0,NA,0,1,0,3,0,0,1,0,2,2,0,NA,0
"Gabon",2021,290,481,481,266,2,17,NA,4,NA,NA,5,7,2,1,0,1,0,NA,1,NA,2,1,1,NA,NA,NA,1,1,1,1,1,1,0,0,NA,1,1,2,2,1,1,1,1,1,1,1,NA,3
"Tanzania",2021,623,510,510,834,2,14,NA,2,NA,NA,0,1,0,2,0,0,0,NA,0,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,1,0,0,0,0,NA,1
"Korea, Republic of",2021,377,732,732,410,142,30,NA,7,NA,NA,9,11,2,2,2,1,0,NA,2,NA,1,2,2,NA,NA,NA,3,1,2,1,1,1,2,1,NA,0,1,0,3,1,2,1,2,2,2,1,NA,0
"Luxembourg",2021,410,212,212,442,150,155,NA,8,NA,NA,11,12,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,1,2,2,1,1,2,NA,2,3,3,3,2,1,2,2,2,1,2,NA,3
"Vanuatu",2021,671,935,935,548,9,54,NA,8,NA,NA,4,6,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,0,1,0,0,1,1,1,0,NA,2,3,3,2,1,0,1,1,1,2,0,NA,3
"El Salvador",2021,266,92,92,222,419,13,NA,3,NA,NA,2,7,0,1,2,0,0,NA,0,NA,1,1,1,NA,NA,NA,3,0,0,0,0,1,1,0,NA,1,1,0,3,1,0,1,1,1,2,1,NA,2
"Thailand",2021,626,800,800,764,142,35,NA,2,NA,NA,2,5,1,1,0,0,0,NA,0,NA,0,0,1,NA,NA,NA,1,0,1,1,0,0,0,0,NA,1,1,1,1,0,1,2,0,1,1,0,NA,2
"Saint Kitts and Nevis",2021,536,60,60,659,419,29,NA,8,NA,NA,10,10,2,2,2,2,0,NA,2,NA,1,2,2,NA,NA,NA,3,1,0,1,2,2,2,2,NA,2,3,3,3,1,0,1,2,2,2,2,NA,3
"Italy",2021,353,325,325,380,150,39,NA,7,NA,NA,NA,12,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,NA,2,1,1,2,1,NA,1,3,1,3,1,1,2,2,2,2,2,NA,3
"Bolivia",2021,161,145,145,68,419,5,NA,5,NA,NA,4,9,2,2,1,0,0,NA,2,NA,1,1,1,NA,NA,NA,1,1,1,0,0,1,0,1,NA,0,1,0,3,1,1,1,1,2,2,1,NA,1
"Lebanon",2021,392,660,660,422,142,145,NA,7,NA,NA,3,6,2,2,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,0,0,0,1,1,0,1,0,NA,0,2,0,0,0,0,1,2,1,1,1,NA,2
"Serbia",2021,560,342,342,688,150,39,NA,6,NA,NA,2,8,2,2,2,0,0,NA,1,NA,1,1,1,NA,NA,NA,0,0,0,0,1,0,1,0,NA,0,0,1,3,0,0,2,2,1,2,1,NA,2
"France",2021,287,220,220,250,150,155,NA,7,NA,NA,12,14,2,2,2,1,0,NA,1,NA,1,1,2,NA,NA,NA,3,2,2,2,2,1,2,1,NA,2,3,3,3,2,2,2,2,2,2,2,NA,3
"Algeria",2021,107,615,615,12,2,15,NA,6,NA,NA,5,7,2,2,1,1,0,NA,0,NA,0,0,0,NA,NA,NA,1,0,0,2,1,0,2,0,NA,0,1,0,2,0,1,2,1,0,2,1,NA,0
"Philippines",2021,515,840,840,608,142,35,NA,3,NA,NA,4,5,1,1,1,0,0,NA,1,NA,2,1,1,NA,NA,NA,2,1,0,1,1,1,0,0,NA,0,0,1,3,1,0,1,1,1,0,1,NA,1
"Honduras",2021,326,91,91,340,419,13,NA,4,NA,NA,NA,8,1,1,2,0,0,NA,1,NA,2,1,2,NA,NA,NA,2,1,NA,0,1,1,0,0,NA,0,2,1,3,1,1,1,1,1,2,1,NA,1
"Croatia",2021,230,344,344,191,150,39,NA,7,NA,NA,12,14,1,2,2,2,0,NA,2,NA,2,1,2,NA,NA,NA,3,1,1,2,2,2,2,2,NA,1,3,1,3,2,2,2,2,2,2,2,NA,2
"Madagascar",2021,416,580,580,450,2,14,NA,4,NA,NA,2,5,2,0,1,1,0,NA,0,NA,1,1,1,NA,NA,NA,2,1,1,0,0,0,0,0,NA,0,2,0,3,1,1,1,0,1,1,0,NA,2
"Egypt",2021,263,651,651,818,2,15,NA,2,NA,NA,1,6,1,0,1,0,1,1,0,NA,1,0,0,NA,NA,NA,0,0,0,0,1,0,0,0,NA,0,1,0,0,1,1,1,1,1,0,1,NA,0
"Ireland",2021,347,205,205,372,150,154,NA,8,NA,NA,NA,11,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,NA,1,1,2,2,1,NA,2,3,2,3,1,1,1,2,2,2,2,NA,3
"Bangladesh",2021,140,771,771,50,142,62,NA,1,NA,NA,1,5,0,0,1,0,1,2,0,NA,2,1,0,NA,NA,NA,0,0,0,0,0,0,1,0,NA,0,1,0,1,1,0,1,1,0,1,1,NA,0
"Papua New Guinea",2021,506,910,910,598,9,54,NA,5,NA,NA,2,6,2,1,2,0,0,NA,1,NA,2,2,1,NA,NA,NA,1,1,0,0,1,0,0,0,NA,2,2,2,2,1,0,1,2,0,2,0,NA,3
"Switzerland",2021,611,225,225,756,150,155,NA,8,NA,NA,10,11,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,2,2,1,1,1,1,2,NA,2,3,3,3,2,2,1,2,1,1,2,NA,3
"Equatorial Guinea",2021,269,411,411,226,2,17,NA,4,NA,NA,3,8,2,1,1,0,0,NA,0,NA,1,0,0,NA,NA,NA,0,0,0,0,1,1,0,1,NA,0,0,0,1,1,1,1,2,1,1,1,NA,1
"Belgium",2021,149,211,211,56,150,155,NA,7,NA,NA,9,11,2,2,2,1,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,0,2,1,2,2,1,NA,2,3,3,3,1,0,2,2,2,2,2,NA,3
"Slovak Republic",2021,575,317,317,703,150,151,NA,7,NA,NA,12,14,2,2,2,1,0,NA,2,NA,2,2,1,NA,NA,NA,2,2,2,2,1,1,2,2,NA,1,2,0,3,2,2,2,2,2,2,2,NA,2
"Iraq",2021,344,645,645,368,142,145,NA,1,NA,NA,NA,7,0,0,1,0,1,2,0,NA,0,0,0,NA,NA,NA,0,0,NA,0,0,1,1,1,NA,0,0,0,0,0,1,1,1,1,2,1,NA,0
"Solomon Islands",2021,581,940,940,90,9,54,NA,8,NA,NA,2,6,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,1,1,0,0,1,0,0,0,NA,2,2,3,3,1,1,1,1,0,2,0,NA,2
"Oman",2021,494,698,698,512,142,145,NA,7,NA,NA,3,4,2,2,2,1,0,NA,0,NA,1,0,0,NA,NA,NA,1,0,0,1,0,1,1,0,NA,0,2,1,1,0,0,1,1,1,1,0,NA,2
"Tajikistan",2021,620,702,702,762,142,62,NA,3,NA,NA,2,5,1,1,1,0,0,NA,0,NA,0,0,0,NA,NA,NA,1,1,1,0,0,0,0,0,NA,0,1,0,1,1,1,1,0,1,1,0,NA,1
"Senegal",2021,557,433,433,686,2,11,NA,5,NA,NA,5,7,2,1,1,1,0,NA,1,NA,2,1,2,NA,NA,NA,0,1,1,1,1,0,1,0,NA,0,2,1,0,1,1,1,1,1,2,0,NA,2
"Sierra Leone",2021,569,451,451,694,2,11,NA,6,NA,NA,3,4,2,1,2,1,0,NA,1,NA,1,1,1,NA,NA,NA,0,0,1,0,1,0,1,0,NA,1,3,1,1,1,1,0,1,0,1,0,NA,2
"Andorra",2021,110,232,232,20,150,39,NA,8,NA,NA,10,11,2,2,2,2,0,NA,2,NA,2,2,2,NA,NA,NA,3,1,0,2,2,2,1,2,NA,2,3,2,3,1,1,2,2,2,1,2,NA,2
"Jamaica",2021,356,51,51,388,419,29,NA,4,NA,NA,NA,10,2,0,2,0,1,1,1,NA,1,2,2,NA,NA,NA,3,1,NA,1,0,0,1,1,NA,1,3,2,3,2,1,2,1,1,2,1,NA,2
