Entity,Code,Year,total_private_investment_by_focus_area_inflation_adjusted
Agricultural tech,,2018,276319067
Audiovisual,,2018,3729205073
Augmented reality/virtual reality,,2018,364987148
"Cybersecurity, data protection",,2018,1259591338
"Data management, processing, cloud",,2018,3165071484
Drones,,2018,771199196
Educational tech,,2018,2126853165
"Energy, oil, and gas",,2018,945918283
Entertainment,,2018,144571561
Facial recognition,,2018,2308159467
Financial tech,,2018,3694614237
Fitness and wellness,,2018,983379500
Geospatial,,2018,340414147
Human resources tech,,2018,391468837
"Industrial automation, network",,2018,5032348830
Insurance tech,,2018,517534935
Legal tech,,2018,409965400
"Marketing, digital ads",,2018,1372551717
Medical and healthcare,,2018,3008051031
"Music, video content",,2018,392297549
"Natural language, customer support",,2018,1120414649
Retail,,2018,3298362346
Sales enablement,,2018,556575543
Semiconductor,,2018,1319192644
Total,,2018,38045072739
Venture capital,,2018,516025592
