continent,location,date,total_cases_per_million,total_deaths
Asia,Afghanistan,2023-02-16,5083.351,7896
Europe,Albania,2023-02-16,117605.771,3596
Africa,Algeria,2023-02-16,6044.643,6881
Europe,Andorra,2023-02-16,599501.522,165
Africa,Angola,2023-02-16,2955.52,1931
North America,Anguilla,2023-02-16,245890.282,12
North America,Antigua and Barbuda,2023-02-16,97107.879,146
South America,Argentina,2023-02-16,220656.219,130448
Asia,Armenia,2023-02-16,160523.825,8719
North America,Aruba,2023-02-16,413548.878,282
Oceania,Australia,2023-02-16,433329.08,19202
Europe,Austria,2023-02-16,654315.727,21799
Asia,Azerbaijan,2023-02-16,79965.801,10101
North America,Bahamas,2023-02-16,91443.917,833
Asia,Bahrain,2023-02-16,476034.09,1544
Asia,Bangladesh,2023-02-16,11903.576,29445
North America,Barbados,2023-02-16,377899.917,573
Europe,Belarus,2023-02-16,104251.871,7118
Europe,Belgium,2023-02-16,403309.888,33616
North America,Belize,2023-02-16,174496.959,688
Africa,Benin,2023-02-16,2096.18,163
North America,Bermuda,2023-02-16,292662.794,159
Asia,Bhutan,2023-02-16,80018.455,21
South America,Bolivia,2023-02-16,97487.065,22358
North America,Bonaire Sint Eustatius and Saba,2023-02-16,436086.056,41
Europe,Bosnia and Herzegovina,2023-02-16,124172.653,16267
Africa,Botswana,2023-02-16,125306.999,2801
South America,Brazil,2023-02-16,171705.501,698018
North America,British Virgin Islands,2023-02-16,233148.219,64
Asia,Brunei,2023-02-16,617905.934,225
Europe,Bulgaria,2023-02-16,191112.887,38201
Africa,Burkina Faso,2023-02-16,972.754,396
Africa,Burundi,2023-02-16,4159.095,38
Asia,Cambodia,2023-02-16,8272.08,3056
Africa,Cameroon,2023-02-16,4441.878,1965
North America,Canada,2023-02-16,119351.169,51119
Africa,Cape Verde,2023-02-16,106609.999,413
North America,Cayman Islands,2023-02-16,457961.061,37
Africa,Central African Republic,2023-02-16,2754.542,113
Africa,Chad,2023-02-16,432.256,194
South America,Chile,2023-02-16,262410.185,64040
Asia,China,2023-02-16,1419.4,87468
South America,Colombia,2023-02-16,122536.619,142296
Africa,Comoros,2023-02-16,10751.891,161
Africa,Congo,2023-02-16,4199.53,388
Oceania,Cook Islands,2023-02-16,412165.336,2
North America,Costa Rica,2023-02-16,230577.459,9195
Africa,Cote d'Ivoire,2023-02-16,3128.171,834
Europe,Croatia,2023-02-16,314724.165,17937
North America,Cuba,2023-02-16,99225.415,8530
North America,Curacao,2023-02-16,240546.521,301
Europe,Cyprus,2023-02-16,720435.22,1293
Europe,Czechia,2023-02-16,438254.849,42368
Africa,Democratic Republic of Congo,2023-02-16,966.022,1464
Europe,Denmark,2023-02-16,578349.406,8221
Africa,Djibouti,2023-02-16,13998.292,189
North America,Dominica,2023-02-16,216608.483,74
North America,Dominican Republic,2023-02-16,58821.135,4384
South America,Ecuador,2023-02-16,58695.51,36008
Africa,Egypt,2023-02-16,4646.342,24809
North America,El Salvador,2023-02-16,31845.405,4230
Africa,Equatorial Guinea,2023-02-16,10277.53,183
Africa,Eritrea,2023-02-16,2765.713,103
Europe,Estonia,2023-02-16,463437.662,2926
Africa,Eswatini,2023-02-16,61711.937,1423
Africa,Ethiopia,2023-02-16,4051.169,7572
Europe,Faeroe Islands,2023-02-16,652484.139,28
South America,Falkland Islands,2023-02-16,507761.115,NA
Oceania,Fiji,2023-02-16,74078.615,883
Europe,Finland,2023-02-16,263788.173,8859
Europe,France,2023-02-16,584232.389,164753
Oceania,French Polynesia,2023-02-16,254518.564,649
Africa,Gabon,2023-02-16,20502.747,306
Africa,Gambia,2023-02-16,4651.154,372
Asia,Georgia,2023-02-16,486607.28,16950
Europe,Germany,2023-02-16,455641.393,167214
Africa,Ghana,2023-02-16,5112.698,1462
Europe,Gibraltar,2023-02-16,624720.752,111
Europe,Greece,2023-02-16,534280.401,34779
North America,Greenland,2023-02-16,211898.609,21
North America,Grenada,2023-02-16,156863.995,238
North America,Guatemala,2023-02-16,69108.885,20154
Africa,Guinea,2023-02-16,2761.096,467
Africa,Guinea-Bissau,2023-02-16,4252.035,176
South America,Guyana,2023-02-16,90329.617,1298
North America,Haiti,2023-02-16,2947.172,860
North America,Honduras,2023-02-16,45199.216,11109
Asia,Hong Kong,2023-02-16,384051.09,13433
Europe,Hungary,2023-02-16,220129.937,48738
Europe,Iceland,2023-02-16,560255.616,211
Asia,India,2023-02-16,31531.704,530757
Asia,Indonesia,2023-02-16,24441.612,160880
Asia,Iran,2023-02-16,85445.697,144793
Asia,Iraq,2023-02-16,55410.332,25375
Europe,Ireland,2023-02-16,338938.163,8629
Europe,Isle of Man,2023-02-16,449617.905,116
Asia,Israel,2023-02-16,507274.209,12246
Europe,Italy,2023-02-16,432252.028,187551
North America,Jamaica,2023-02-16,54490.338,3500
Asia,Japan,2023-02-16,266741.852,71316
Asia,Jordan,2023-02-16,154794.998,14122
Asia,Kazakhstan,2023-02-16,77196.059,19068
Africa,Kenya,2023-02-16,6346.288,5688
Oceania,Kiribati,2023-02-16,38190.449,18
Europe,Kosovo,2023-02-16,153069.808,3206
Asia,Kuwait,2023-02-16,155276.576,2570
Asia,Kyrgyzstan,2023-02-16,31160.128,2991
Asia,Laos,2023-02-16,28953.671,758
Europe,Latvia,2023-02-16,527239.56,6251
Asia,Lebanon,2023-02-16,224157.811,10810
Africa,Lesotho,2023-02-16,15087.869,723
Africa,Liberia,2023-02-16,1520.926,294
Africa,Libya,2023-02-16,74448.677,6437
Europe,Liechtenstein,2023-02-16,543437.937,89
Europe,Lithuania,2023-02-16,473203.838,9560
Europe,Luxembourg,2023-02-16,487460.643,1214
Asia,Macao,2023-02-16,5049.052,121
